id,title,genre,Imdb Link,Poster,IMDB Score
230,Dolores Claiborne (1995),Drama|Thriller,http://www.imdb.com/title/tt114938,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MjI4NDkyOF5BMl5BanBnXkFtZTcwNzQ0NTg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,http://www.imdb.com/title/tt109340,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MjM0OTUwMF5BMl5BanBnXkFtZTcwMTg1NDAwMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",7.3
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,http://www.imdb.com/title/tt112602,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2NlODBjNWQtMDUwNC00MjAzLWFhMWYtNGFiMDliNWY5Y2M5XkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5
233,Exotica (1994),Drama,http://www.imdb.com/title/tt111579,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5MDUwNDMyOV5BMl5BanBnXkFtZTcwOTQyMTAwMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",8
234,Exit to Eden (1994),Comedy,http://www.imdb.com/title/tt110882,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MzAwMzc1N15BMl5BanBnXkFtZTcwMjA4NjA3MQ@@._V1_UY268_CR5,0,182,268_AL_.jpg",8.1
235,Ed Wood (1994),Comedy|Drama,http://www.imdb.com/title/tt112471,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.1
236,French Kiss (1995),Action|Comedy|Romance,http://www.imdb.com/title/tt112508,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
237,Forget Paris (1995),Comedy|Romance,http://www.imdb.com/title/tt112438,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NjgxOTI5M15BMl5BanBnXkFtZTcwNDYyNDk5MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",4.2
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,http://www.imdb.com/title/tt112571,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzg4NDk3OF5BMl5BanBnXkFtZTcwMjcwNTgxMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg",6.4
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,http://www.imdb.com/title/tt112757,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTcyMDM2NjkzOF5BMl5BanBnXkFtZTcwNzg0MDcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.7
240,Hideaway (1995),Thriller,http://www.imdb.com/title/tt112643,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzQ3MjU5MV5BMl5BanBnXkFtZTcwMTI0NTYzNQ@@._V1_UY268_CR5,0,182,268_AL_.jpg",5.9
241,Fluke (1995),Children|Drama,http://www.imdb.com/title/tt112679,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTAwOTIwMjgxMV5BMl5BanBnXkFtZTcwNjQ0MDYyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.6
242,Farinelli: il castrato (1994),Drama|Musical,http://www.imdb.com/title/tt109445,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.8
243,Gordy (1995),Children|Comedy|Fantasy,http://www.imdb.com/title/tt112883,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7
244,Gumby: The Movie (1995),Animation|Children,http://www.imdb.com/title/tt109635,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzhkNjE2YTQtYWQzNS00ZTkwLTg4YzAtNjNlYTRlMGEzYjcxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6
245,"Glass Shield, The (1994)",Crime|Drama,http://www.imdb.com/title/tt112899,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMjEwNzk4OV5BMl5BanBnXkFtZTgwNTI4ODk1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",4.6
246,Hoop Dreams (1994),Documentary,http://www.imdb.com/title/tt109676,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTFjOWQyODItZWJiOC00NTM2LWIzNDEtMjRlY2NiNTI4YWU1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6
247,Heavenly Creatures (1994),Crime|Drama,http://www.imdb.com/title/tt112854,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMDUwMDA0OF5BMl5BanBnXkFtZTYwNjY4NDg5._V1_UX182_CR0,0,182,268_AL_.jpg",4.5
248,Houseguest (1994),Comedy,http://www.imdb.com/title/tt109579,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyODAxOTUzN15BMl5BanBnXkFtZTcwNDE0ODMyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.3
249,Immortal Beloved (1994),Drama|Romance,http://www.imdb.com/title/tt109642,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzhkNjFlNDQtMDYxNy00NGU5LWE4YmItOWIyYzg5MTNmNzcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.4
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,http://www.imdb.com/title/tt109686,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",7.3
251,"Hunted, The (1995)",Action,http://www.imdb.com/title/tt111797,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTQxMjc5MV5BMl5BanBnXkFtZTcwMjYxODcxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.8
252,I.Q. (1994),Comedy|Romance,http://www.imdb.com/title/tt109759,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",7.2
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,http://www.imdb.com/title/tt109758,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3OTM4NjQ4Nl5BMl5BanBnXkFtZTcwODY0NjIyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",4.1
254,Jefferson in Paris (1995),Drama,http://www.imdb.com/title/tt109707,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.9
255,"Jerky Boys, The (1995)",Comedy,http://www.imdb.com/title/tt113117,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjg5MDQ3M15BMl5BanBnXkFtZTgwOTM5NTE0MDE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5
256,Junior (1994),Comedy|Sci-Fi,http://www.imdb.com/title/tt113097,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MjUyOTc2Ml5BMl5BanBnXkFtZTcwNzYzMDcxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.4
257,Just Cause (1995),Mystery|Thriller,http://www.imdb.com/title/tt113028,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3MTg2NDU0Ml5BMl5BanBnXkFtZTYwODM0NDk5._V1_UY268_CR3,0,182,268_AL_.jpg",6.4
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,http://www.imdb.com/title/tt113198,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
259,Kiss of Death (1995),Crime|Drama|Thriller,http://www.imdb.com/title/tt113303,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmM1OTU2MDQtZWVjMi00NmY4LWI1ZDYtZTg0ODE5YTUxNDA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt113089,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NDU0NjY2OF5BMl5BanBnXkFtZTYwMjk1Nzk4._V1_UY268_CR2,0,182,268_AL_.jpg",6.7
261,Little Women (1994),Drama,http://www.imdb.com/title/tt109771,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMzI3MTQ2NV5BMl5BanBnXkFtZTcwMzQxMTYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9
262,"Little Princess, A (1995)",Children|Drama,http://www.imdb.com/title/tt113199,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDg1ODU4MF5BMl5BanBnXkFtZTcwNjQwMzkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",3.9
263,Ladybird Ladybird (1994),Drama,http://www.imdb.com/title/tt113234,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjU0ODM1MjExOF5BMl5BanBnXkFtZTcwNDY0ODcyMg@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.2
264,"Enfer, L' (1994)",Drama,http://www.imdb.com/title/tt109906,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDUyMTg2N15BMl5BanBnXkFtZTcwMTQ5OTAzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,http://www.imdb.com/title/tt110057,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ1MDA0YWMtMDliZC00N2ZhLWIwZDItNjhjNTMzYTMwMWU4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",8.3
266,Legends of the Fall (1994),Drama|Romance|War|Western,http://www.imdb.com/title/tt110005,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.4
267,Major Payne (1995),Comedy,http://www.imdb.com/title/tt110066,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MDQ1NTY1Ml5BMl5BanBnXkFtZTYwODgxODQ5._V1_UY268_CR2,0,182,268_AL_.jpg",5.9
268,Little Odessa (1994),Crime|Drama,http://www.imdb.com/title/tt110116,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE3NjQ4MTQyNV5BMl5BanBnXkFtZTYwOTU1MDg4._V1_UX182_CR0,0,182,268_AL_.jpg",7.5
269,My Crazy Life (Mi vida loca) (1993),Drama,http://www.imdb.com/title/tt110006,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MDMyODQwM15BMl5BanBnXkFtZTYwNTY5Mzk5._V1_UY268_CR2,0,182,268_AL_.jpg",6.7
270,Love Affair (1994),Drama|Romance,http://www.imdb.com/title/tt113360,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MjA5Nzg1M15BMl5BanBnXkFtZTcwOTU5ODEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",5.9
271,Losing Isaiah (1995),Drama,http://www.imdb.com/title/tt110099,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.2
272,"Madness of King George, The (1994)",Comedy|Drama,http://www.imdb.com/title/tt110148,"https://images-na.ssl-images-amazon.com/images/M/MV5BYThmYjJhMGItNjlmOC00ZDRiLWEzNjUtZjU4MjA3MzY0MzFmXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,http://www.imdb.com/title/tt113463,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MjA3MDQ3Nl5BMl5BanBnXkFtZTcwNTkyNTUyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",5.7
274,Man of the House (1995),Comedy,http://www.imdb.com/title/tt110189,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4OTI4OTEyNF5BMl5BanBnXkFtZTcwNDk5NjUyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg",4.6
275,Mixed Nuts (1994),Comedy,http://www.imdb.com/title/tt110216,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",4.5
276,Milk Money (1994),Comedy|Romance,http://www.imdb.com/title/tt113501,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzNlNzEyMDEtMjM0Yi00YjNiLWI4YmItNjFjZWQ2MWUxMTZiXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
277,Miracle on 34th Street (1994),Drama,http://www.imdb.com/title/tt113538,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyODY0Nzk2NF5BMl5BanBnXkFtZTcwNjQwMTMyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",4.8
278,Miami Rhapsody (1995),Comedy,http://www.imdb.com/title/tt113552,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTY2MTMyMjM0OV5BMl5BanBnXkFtZTcwNzQ0OTUyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",5.9
279,My Family (1995),Drama,http://www.imdb.com/title/tt76759,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ2OTk4N2QtOGQwNy00MmI3LWEwNmEtOTk0OTY3NDk2MGJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",8.7
280,Murder in the First (1995),Drama|Thriller,http://www.imdb.com/title/tt110367,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MzkwMDczNV5BMl5BanBnXkFtZTcwNzU1ODYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
281,Nobody's Fool (1994),Comedy|Drama|Romance,http://www.imdb.com/title/tt113670,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDQzMGE5ODYtZDdiNC00MzZjLTg2NjAtZTk0ODlkYmY4MTQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7
282,Nell (1994),Drama,http://www.imdb.com/title/tt110296,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjcyMzY0MF5BMl5BanBnXkFtZTcwMTExNDMzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",7.5
283,New Jersey Drive (1995),Crime|Drama,http://www.imdb.com/title/tt109731,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2OTI1MDYzM15BMl5BanBnXkFtZTcwMjk3MzUxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2
285,Beyond Bedlam (1993),Drama|Horror,http://www.imdb.com/title/tt103994,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDI3MTIyMF5BMl5BanBnXkFtZTcwMzg5NDEzMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.2
287,Nina Takes a Lover (1994),Comedy|Romance,http://www.imdb.com/title/tt110322,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5
288,Natural Born Killers (1994),Action|Crime|Thriller,http://www.imdb.com/title/tt110443,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTAwODQwMF5BMl5BanBnXkFtZTcwMzE5NjMyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.1
289,Only You (1994),Comedy|Romance,http://www.imdb.com/title/tt110365,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MzUyNzc5OV5BMl5BanBnXkFtZTcwODc4OTUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
290,Once Were Warriors (1994),Crime|Drama,http://www.imdb.com/title/tt107566,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTg4ODk5NTQyN15BMl5BanBnXkFtZTcwMDM1MjYyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.5
291,Poison Ivy II (1996),Drama|Thriller,http://www.imdb.com/title/tt110391,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MzY0NTE3MF5BMl5BanBnXkFtZTcwOTk1NTAyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,http://www.imdb.com/title/tt113691,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NjM0MTExMl5BMl5BanBnXkFtZTcwNjY4MjEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.4
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt110428,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMzk0ODQyNV5BMl5BanBnXkFtZTcwODk0ODE1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2
294,"Perez Family, The (1995)",Comedy|Romance,http://www.imdb.com/title/tt109836,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDY3ZjIyOGMtZjI3YS00YTUxLTg4YjAtODhjNWM1Nzk4MDE3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,http://www.imdb.com/title/tt113755,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGE3MDZhMWYtYmZiMC00N2QwLWI1YTAtNjkwN2MxODU0NGFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,http://www.imdb.com/title/tt110538,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NzY1MDA4OF5BMl5BanBnXkFtZTcwMTYwNDcxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3
297,Panther (1995),Drama,http://www.imdb.com/title/tt110516,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDQ3NzU4NV5BMl5BanBnXkFtZTcwNTA1MTYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5
298,Pushing Hands (Tui shou) (1992),Drama,http://www.imdb.com/title/tt110527,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3M2UyN2YtNmQ1MS00MWI3LWEzNGMtYTRkM2E5MWNjOWJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
299,Priest (1994),Drama,http://www.imdb.com/title/tt113808,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNjU3MTk2NV5BMl5BanBnXkFtZTcwMzU0MzQyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",5.4
300,Quiz Show (1994),Drama,http://www.imdb.com/title/tt113896,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTM1Mzg4NV5BMl5BanBnXkFtZTgwMzY2NjQzMTE@._V1_UY268_CR0,0,182,268_AL_.jpg",7.3
301,Picture Bride (Bijo photo) (1994),Drama|Romance,http://www.imdb.com/title/tt113870,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjQyZGI3MWUtZGY5Ny00ZDFjLThjNzItYTI3ZTNhODJhNGVkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,http://www.imdb.com/title/tt110684,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjg0YzYzYzktNTY3NC00MDE0LThjMzYtMmY0MWZlNDdiYWY2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR1,0,182,268_AL_.jpg",7.4
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,http://www.imdb.com/title/tt110638,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTM2MDQ0NTQ2OF5BMl5BanBnXkFtZTcwNjI2OTQyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.5
304,Roommates (1995),Comedy|Drama,http://www.imdb.com/title/tt113967,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NzA1MTA3Ml5BMl5BanBnXkFtZTcwMTc3NTcyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.7
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,http://www.imdb.com/title/tt117169,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDY0MjMxOV5BMl5BanBnXkFtZTYwNzg3NjA5._V1_UX182_CR0,0,182,268_AL_.jpg",4.2
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,http://www.imdb.com/title/tt106402,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMDkzNTg0OF5BMl5BanBnXkFtZTcwMzk2NTAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",3.4
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,http://www.imdb.com/title/tt113948,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzgxZTE4ZGMtOTYxNS00Nzc2LWExYTEtN2FhMzg5NGE4YmFhXkEyXkFqcGdeQXVyNjUyMTU4NzA@._V1_UX182_CR0,0,182,268_AL_.jpg",4.7
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,http://www.imdb.com/title/tt110671,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MTU5Nzc3N15BMl5BanBnXkFtZTcwNzY4MTUyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",5.7
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,http://www.imdb.com/title/tt110632,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
310,Rent-a-Kid (1995),Comedy,http://www.imdb.com/title/tt110737,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmEzOWI2YTUtMDNkNS00MDRlLWFmMTctNDAyNTdiYjU5MDZiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR9,0,182,268_AL_.jpg",6.5
312,Stuart Saves His Family (1995),Comedy,http://www.imdb.com/title/tt110729,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzODA3MzE4NF5BMl5BanBnXkFtZTcwMjIwMzAwMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.9
313,"Swan Princess, The (1994)",Animation|Children,http://www.imdb.com/title/tt114151,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1NzYyMzc5MV5BMl5BanBnXkFtZTcwMjQwOTYyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",4.4
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,http://www.imdb.com/title/tt114069,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
315,"Specialist, The (1994)",Action|Drama|Thriller,http://www.imdb.com/title/tt110413,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjdjMGU3MGYtN2Y5ZC00MTE4LWE4YWQtMTBhMjc3MTk0ZDUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.6
316,Stargate (1994),Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt114113,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTI2Nzg0NF5BMl5BanBnXkFtZTcwOTcwOTc2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,http://www.imdb.com/title/tt114210,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMzI4NzQ2Ml5BMl5BanBnXkFtZTcwOTQ4ODUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.4
318,"Shawshank Redemption, The (1994)",Crime|Drama,http://www.imdb.com/title/tt110912,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",8.9
319,Shallow Grave (1994),Comedy|Drama|Thriller,http://www.imdb.com/title/tt114084,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MDc3NDQ3N15BMl5BanBnXkFtZTcwODA3NzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.4
320,Suture (1993),Film-Noir|Thriller,http://www.imdb.com/title/tt105652,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMzk0MDYzNV5BMl5BanBnXkFtZTcwNTkwNTgxMQ@@._V1_UY268_CR6,0,182,268_AL_.jpg",7.3
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,http://www.imdb.com/title/tt110889,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1
322,Swimming with Sharks (1995),Comedy|Drama,http://www.imdb.com/title/tt110932,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5
324,"Sum of Us, The (1994)",Comedy|Drama,http://www.imdb.com/title/tt114129,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjgzNDE4Ml5BMl5BanBnXkFtZTcwMzkzNzQyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.8
